vilref,new_km_N,new_km_E,lr_pop
25-339-35463,40.50164008096305,608.7992121569848,1208
25-339-46518,27.421780860013197,603.0905811073687,562
25-339-37960,47.424768016118286,610.985398444379,1293
25-339-38490,45.666040157727245,609.0768089485653,1193
25-339-12517,35.22266093850731,601.7894407033101,634
25-339-36045,45.725289518235066,610.8479643559841,1172
25-339-14093,37.974624178283086,600.089696774962,214
25-339-32888,47.131867689208114,607.6714776427305,1448
25-339-11314,40.452936703147586,618.5216601402684,1313
25-341-5473,108.17309331803423,601.3565610471757,1209
25-341-5282,94.70683172682484,592.4315225421029,1036
25-341-10797,103.11383535060246,595.0992273796921,830
25-341-44938,99.37180300292079,601.9485415541153,319
25-341-30600,108.61742824491822,593.8085968038647,59
25-341-30198,95.68101047912559,606.0645020615883,936
25-341-29165,102.18115130253918,595.4474773982056,532
25-341-14529,114.08065738086349,600.9516588365244,421
25-341-2395,114.47940238776418,598.5226689488653,411
25-341-19052,116.35325929161165,594.1859594310392,279
25-341-16906,108.81757911289637,603.4964310632397,1291
25-341-31022,99.45051849237363,593.7947803167147,151
25-341-19678,101.28255111947897,596.2521283457774,335
25-341-19429,100.06247971497912,601.4349443010021,41
25-341-35211,93.61056094506459,595.671227762516,1678
25-341-5423,96.29803112704118,597.5299644859849,487
25-341-41550,107.36682423791265,598.6917492428039,430
25-341-32010,95.03941575235774,601.5241692028717,617
25-341-5235,95.98724130710052,602.5427693789486,671
25-341-8040,105.01882683390227,596.6187743620774,3404
25-341-5474,120.68763753225454,592.5164942094362,319
25-341-45521,99.44572121397691,596.1408703361612,151
25-341-6311,93.54829178608931,589.7888432273593,379
25-341-14855,100.48474250512467,591.565656809003,344
25-341-11945,98.97060118899994,607.3742638411549,392
25-341-20700,107.80348138190593,593.5797611763664,100
25-341-741,118.58238398602003,595.6120761895249,1039
25-341-29423,99.95979125634776,601.5889327686348,839
25-341-3427,92.62103729281633,603.2166536900253,1840
25-341-2957,101.8634484005274,603.1945478153175,832
25-343-3465,153.22872161981314,594.6743715116397,275
25-343-19017,145.88218401133724,598.194444642857,2028
25-343-39694,155.2637950928661,590.8501074454806,1195
25-343-29468,152.60614122553798,615.8375299022823,78
25-343-7932,155.03841905095993,596.8748093185573,319
25-343-11690,132.40168946945673,589.6695885069737,564
25-343-36471,147.6323921567304,590.0332246262634,655
25-343-40262,144.51508693917543,612.1973611941744,1062
25-343-34230,136.0025147789661,590.2914224860659,603
25-343-27000,148.4852572440953,600.7936354724864,410
25-343-551,153.67372371624086,607.8354599387096,1420
25-343-45675,150.63465517611837,591.1679123575686,300
25-343-1425,144.0317892370713,580.9418817915554,394
25-343-15447,150.27360524932345,604.6898002982605,858
25-343-21064,144.8569667876788,592.8198532826523,508
25-343-24078,146.51377119470317,581.6127786188458,502
25-343-35537,144.19424502486484,603.2503306062001,1399
25-343-5015,145.72806784298206,589.0096714743104,311
25-343-24938,155.22589369728237,601.2063958252517,1346
25-343-25643,137.38911551423894,593.4545491758705,1161
25-343-23627,141.73016545044237,592.5728829181304,815
25-343-15668,143.0266058022621,612.8154121141099,855
25-343-8611,142.7554938690402,595.6226112148231,1076
25-343-16801,150.61686398786438,589.8691523247487,926
25-343-5634,135.16677371031028,583.8930772288152,1323
25-343-13291,142.7851829144369,587.024301099487,760
25-343-16710,143.97074322233743,587.3165244437592,294
25-343-21622,147.51563748376913,606.9642729365195,2182
25-343-1168,153.54584955062901,599.6719268940398,566
25-343-171,153.86353345602484,591.2232650058633,359
25-343-39693,150.50577287662867,594.72004989495,1030
25-343-30582,135.0451264605378,587.0514163947093,201
25-343-132,147.7330235652985,583.7821109257982,781
25-343-776,131.17609898795996,593.7415004838842,590
25-343-21185,150.60129669814157,588.3104622504982,325
25-343-26320,147.48672680284577,603.587099615304,668
25-343-22313,144.44665750836057,584.3105175191921,200
25-343-32504,131.10326631100537,596.9207487947939,795
25-343-5048,139.73343815266844,597.7588842814587,920
25-343-20320,151.48418441569672,614.4473186434808,414
25-343-33775,140.28129555625236,600.2176700185165,1011
25-343-29823,132.83457131887099,579.4055249277229,539
25-343-18826,154.16064630004024,604.8590477507626,135
25-343-594,151.09377902824897,586.6994355472325,148
25-343-33641,138.316481202399,587.6602147597446,759
25-344-14130,189.87212013612893,619.2517300784565,215
25-344-27677,164.29606386367595,596.9432004166599,62
25-344-16493,173.50633963764213,611.6159356071245,390
25-344-16852,164.65633542599485,596.1798445886845,21
25-344-35986,174.3536449786575,598.6227509727715,222
25-344-53283,169.3609927723436,587.7767930693238,232
25-344-25572,185.42754772321862,617.4341081778716,636
25-344-27515,171.80728115849845,612.8360491316242,96
25-344-17969,166.22307194242404,614.620015956611,226
25-344-5105,181.91912539773767,617.4890255215367,232
25-344-29,158.78157386660072,616.6876287558797,594
25-344-17557,157.28522373874546,617.9547864624527,144
25-344-42455,174.13358776903064,602.707419306255,185
25-344-25759,169.63675619039668,595.9225139126924,427
25-344-29754,176.40963917234265,618.2103762174446,266
25-344-15930,181.62579318124364,586.8614365823621,86
25-344-10531,172.23793910940236,590.8396822281888,39
25-344-19642,160.2229937006742,579.9892911037493,373
25-344-8571,171.56609936260537,609.4685095658386,260
25-344-4912,163.35624434366636,604.3463831851053,324
25-344-5149,166.34761026026118,589.8320201633464,119
25-344-29906,172.72797515114235,592.1592504058095,53
25-344-31432,157.4909343530467,607.0782552851755,339
25-344-53393,160.1651723388095,579.9184792730215,32
25-344-15980,169.9226907091196,599.9580680999,48
25-344-31850,174.62384865042011,598.4535009440071,163
25-344-33003,159.39792734499125,610.2222557666013,409
25-344-34686,167.84762982070373,592.2646015231235,125
25-344-23805,170.30058990247227,598.602026483189,198
25-344-38673,183.73110850500905,599.2531818532867,454
25-344-44068,174.67299462348393,605.2292088508428,101
25-344-52502,184.62805620065345,617.3175383196015,1
25-344-16897,188.22521207758234,617.5722650028634,156
25-344-27956,159.03431993484784,617.5308179603957,350
25-344-1826,175.9458451333056,613.2009599312008,383
25-344-11851,172.46688946334817,604.3779875882935,530
25-344-36378,190.90612175897763,618.8959776560422,457
25-344-37533,169.10070901445525,606.6876743259461,612
25-344-14100,170.07430822676014,618.9476999333141,270
25-344-239,160.61173116424814,601.9904666478114,623
25-344-17105,188.96465833975336,600.4171424036449,262
25-344-1939,165.69645276985372,583.9924719237409,319
25-344-1355,180.3021287744262,606.1624234798783,432
25-344-5148,179.9588700358862,616.5309931049813,81
25-344-23945,157.60101733039482,581.0359231278449,511
25-344-5090,177.11127915946014,589.7974786149096,184
25-344-30569,164.59851406415444,616.0680799984922,229
25-344-3955,162.93014538476245,576.6536956708844,91
25-344-17505,190.35459492284218,612.8533189355597,775
25-344-14395,162.1423293294774,587.5208388715621,430
25-344-38951,189.67324450127674,605.6345588505903,264
25-344-11372,165.9725497727138,610.7070220266722,167
25-344-11376,188.6186197280386,618.9526217523354,119
25-344-20636,186.29598010031023,612.5510972594803,513
25-344-34780,162.1044118594955,614.2720307946321,525
25-344-1452,163.87908288873717,579.2449027328636,152
25-344-14849,186.13196758351094,601.1810948365033,210
25-344-24595,155.7396142583889,619.3553472290729,174
25-344-18315,179.4219097351427,603.3254560245974,272
25-344-31426,159.40459904059765,583.0108727258706,171
25-344-10176,183.12203211415655,617.0907882607333,65
25-344-34718,156.23665558049055,582.5195109624091,123
25-344-3441,175.0274862341055,601.5571554469851,120
25-344-37596,173.17750772698608,604.496982439269,441
25-345-22306,207.33739606926352,627.9045322435899,315
25-345-32360,209.3344569517894,612.2151991874264,91
25-345-21828,213.72888045277674,612.214335695867,141
25-345-14470,210.44351515012795,625.4757052466512,713
25-345-22215,211.92529874261606,624.6449668167808,687
25-345-21400,203.35884159392185,608.5298004246808,89
25-345-23555,193.72936094646892,611.6176625927881,896
25-345-27601,206.93375848553217,629.2826079287272,319
25-345-37229,210.04721643159084,612.9310330441349,973
